page,text,font_name,font_size,style,color_rgb,color_hex,bbox
1,Information Brochure for NAAC (2012-2017) ,"Times New Roman,Bold",21.12,bold,"(0, 32, 96)",#002060,"(108.05000305175781, 124.51203918457031, 521.7100219726562, 147.89187622070312)"
1,Department of Sanskrit,"Times New Roman,Bold",25.92,bold,"(0, 32, 96)",#002060,"(166.14999389648438, 652.2152709960938, 428.9491271972656, 680.90869140625)"
1,University of Delhi ,"Times New Roman,Bold",18.0,bold,"(0, 0, 0)",#000000,"(225.22000122070312, 681.8319702148438, 374.7200012207031, 701.7579956054688)"
2,Department of Sanskrit ,"Times New Roman,Bold",28.08,bold,"(112, 48, 160)",#7030A0,"(156.07000732421875, 298.3607177734375, 446.1499938964844, 329.4452819824219)"
2,University of Delhi ,"Times New Roman,Bold",18.0,bold,"(112, 48, 160)",#7030A0,"(225.22000122070312, 330.3819885253906, 374.7200012207031, 350.3079833984375)"
2,Delhi -110007,"Times New Roman,Bold",18.0,bold,"(112, 48, 160)",#7030A0,"(244.89999389648438, 351.0220031738281, 350.35198974609375, 370.947998046875)"
2,Website – sanskrit.du.ac.in ,Times New Roman,15.12,regular,"(112, 48, 160)",#7030A0,"(216.5500030517578, 371.1080627441406, 382.3999938964844, 387.8459167480469)"
2,Tel. No – 011-27666657 ,Times New Roman,15.12,regular,"(112, 48, 160)",#7030A0,"(223.5399932861328, 388.4080505371094, 375.67999267578125, 405.1459045410156)"
2,Email – sanskrit.du.ac.in@gmail.com,Times New Roman,15.12,regular,"(112, 48, 160)",#7030A0,"(184.38999938964844, 405.44805908203125, 410.9036560058594, 422.1859130859375)"
3,Information Brochure for NAAC (2012-2017) ,"Times New Roman,Bold",19.92,bold,"(0, 0, 0)",#000000,"(103.25, 109.23126220703125, 497.1700134277344, 131.28269958496094)"
3,"Department of Sanskrit, University of Delhi ","Times New Roman,Bold",13.92,bold,"(0, 32, 96)",#002060,"(166.8699951171875, 145.32725524902344, 431.80999755859375, 160.7366943359375)"
3,S. No ,"Times New Roman,Bold",13.92,bold,"(0, 0, 0)",#000000,"(97.00800323486328, 202.92723083496094, 132.4099884033203, 218.336669921875)"
3,Content ,"Times New Roman,Bold",13.92,bold,"(0, 0, 0)",#000000,"(265.5400085449219, 202.92723083496094, 317.2799987792969, 218.336669921875)"
3,Page No ,"Times New Roman,Bold",13.92,bold,"(0, 0, 0)",#000000,"(449.69000244140625, 202.92723083496094, 502.6300048828125, 218.336669921875)"
3,1.,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(112.8499984741211, 235.6179962158203, 121.8499984741211, 248.90199279785156)"
3, History of the Department  ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(130.85000610351562, 235.6179962158203, 284.8800048828125, 248.90199279785156)"
3,1 ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(471.30999755859375, 235.6179962158203, 480.30999755859375, 248.90199279785156)"
3,2.,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(112.8499984741211, 263.6979675292969, 121.8499984741211, 276.9819641113281)"
3, Heads of the Department ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(130.85000610351562, 263.6979675292969, 275.0199890136719, 276.9819641113281)"
3,5 ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(471.30999755859375, 263.6979675292969, 480.30999755859375, 276.9819641113281)"
3,3.,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(112.8499984741211, 291.7779846191406, 121.8499984741211, 305.0619812011719)"
3, Vision and Mission  ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(130.85000610351562, 291.7779846191406, 247.17999267578125, 305.0619812011719)"
3,6 ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(471.30999755859375, 291.7779846191406, 480.30999755859375, 305.0619812011719)"
3,4.,"Times New Roman,Bold",12.0,bold,"(73, 83, 61)",#49533D,"(112.8499984741211, 319.88800048828125, 121.8499984741211, 333.1719970703125)"
3,Special Features and Contributions  ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(143.08999633789062, 319.88800048828125, 330.7200012207031, 333.1719970703125)"
3,7 ,"Times New Roman,Bold",12.0,bold,"(73, 83, 61)",#49533D,"(471.30999755859375, 319.88800048828125, 480.30999755859375, 333.1719970703125)"
3,5.,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(112.8499984741211, 347.9679870605469, 121.8499984741211, 361.2519836425781)"
3, Courses offered ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(130.85000610351562, 347.9679870605469, 227.02000427246094, 361.2519836425781)"
3,7 ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(471.30999755859375, 347.9679870605469, 480.30999755859375, 361.2519836425781)"
3,6.,"Times New Roman,Bold",12.0,bold,"(68, 68, 68)",#444444,"(112.8499984741211, 376.0480041503906, 121.8499984741211, 389.3320007324219)"
3,Faculty Members  ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(143.08999633789062, 376.0480041503906, 239.5, 389.3320007324219)"
3,8 ,"Times New Roman,Bold",12.0,bold,"(68, 68, 68)",#444444,"(471.30999755859375, 376.0480041503906, 480.30999755859375, 389.3320007324219)"
3,7.,"Times New Roman,Bold",12.0,bold,"(68, 68, 68)",#444444,"(112.8499984741211, 404.14801025390625, 121.8499984741211, 417.4320068359375)"
3,Academic Activities   ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(143.08999633789062, 404.14801025390625, 253.66000366210938, 417.4320068359375)"
3,10 ,"Times New Roman,Bold",12.0,bold,"(68, 68, 68)",#444444,"(468.4100036621094, 404.14801025390625, 483.42999267578125, 417.4320068359375)"
3,8.,"Times New Roman,Bold",12.0,bold,"(68, 68, 68)",#444444,"(112.8499984741211, 432.2279968261719, 121.8499984741211, 445.5119934082031)"
3,Academic contribution by the Faculty Members ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(143.08999633789062, 432.2279968261719, 391.70001220703125, 445.5119934082031)"
3,14 ,"Times New Roman,Bold",12.0,bold,"(68, 68, 68)",#444444,"(468.4100036621094, 432.2279968261719, 483.42999267578125, 445.5119934082031)"
3,9.,"Times New Roman,Bold",12.0,bold,"(68, 68, 68)",#444444,"(112.8499984741211, 460.3079833984375, 121.8499984741211, 473.59197998046875)"
3,Awards received by faculty members/Department ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(143.08999633789062, 460.3079833984375, 401.29998779296875, 473.59197998046875)"
3,17 ,"Times New Roman,Bold",12.0,bold,"(68, 68, 68)",#444444,"(468.4100036621094, 460.3079833984375, 483.42999267578125, 473.59197998046875)"
3,10.,"Times New Roman,Bold",12.0,bold,"(68, 68, 68)",#444444,"(112.8499984741211, 488.4079895019531, 127.8499984741211, 501.6919860839844)"
3,Distinguished Alumni ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(143.08999633789062, 488.4079895019531, 257.6619873046875, 501.6919860839844)"
3,20 ,"Times New Roman,Bold",12.0,bold,"(68, 68, 68)",#444444,"(468.4100036621094, 488.4079895019531, 483.42999267578125, 501.6919860839844)"
3,11.,"Times New Roman,Bold",12.0,bold,"(68, 68, 68)",#444444,"(112.8499984741211, 516.4879760742188, 127.8499984741211, 529.77197265625)"
3,Placements ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(143.08999633789062, 516.4879760742188, 204.19000244140625, 529.77197265625)"
3,20 ,"Times New Roman,Bold",12.0,bold,"(68, 68, 68)",#444444,"(468.4100036621094, 516.4879760742188, 483.42999267578125, 529.77197265625)"
3,12.,"Times New Roman,Bold",12.0,bold,"(68, 68, 68)",#444444,"(112.8499984741211, 544.5679931640625, 127.8499984741211, 557.8519897460938)"
3,Others ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(143.08999633789062, 544.5679931640625, 181.38999938964844, 557.8519897460938)"
3,21 ,"Times New Roman,Bold",12.0,bold,"(68, 68, 68)",#444444,"(468.4100036621094, 544.5679931640625, 483.42999267578125, 557.8519897460938)"
4,Edited by ,"Times New Roman,Bold",19.92,bold,"(255, 0, 0)",#FF0000,"(256.17999267578125, 239.60125732421875, 343.9800109863281, 261.6527099609375)"
4,Prof. Sharda Sharma ,Times New Roman,13.92,regular,"(112, 48, 160)",#7030A0,"(239.6199951171875, 275.42724609375, 359.3000183105469, 290.836669921875)"
4,Prof. Ramesh C. Bhardwaj ,Times New Roman,13.92,regular,"(112, 48, 160)",#7030A0,"(222.33999633789062, 303.77728271484375, 376.3399963378906, 319.18670654296875)"
4,Dr. Meera Dwivedi ,Times New Roman,13.92,regular,"(112, 48, 160)",#7030A0,"(242.97999572753906, 332.3372802734375, 355.70001220703125, 347.7467041015625)"
4,Dr. Om Nath Bimali ,Times New Roman,13.92,regular,"(112, 48, 160)",#7030A0,"(240.10000610351562, 360.89727783203125, 358.58001708984375, 376.30670166015625)"
4,Dr. Bhartendu Pandey ,Times New Roman,13.92,regular,"(112, 48, 160)",#7030A0,"(235.3000030517578, 389.4772644042969, 363.6200256347656, 404.8866882324219)"
4,Dr. Ranjit Behera ,Times New Roman,13.92,regular,"(112, 48, 160)",#7030A0,"(248.02000427246094, 418.0372619628906, 350.6600036621094, 433.4466857910156)"
4,Dr. Balram Shukla,Times New Roman,13.92,regular,"(112, 48, 160)",#7030A0,"(244.89999389648438, 446.3572692871094, 349.94451904296875, 461.7666931152344)"
5,"Information Brochure, Department of Sanskrit ",Times New Roman,12.0,regular,"(112, 48, 160)",#7030A0,"(186.07000732421875, 35.64796447753906, 412.1300048828125, 48.93196487426758)"
5,1 ,Calibri,11.04,regular,"(0, 0, 0)",#000000,"(294.8399963378906, 782.0159301757812, 302.8550109863281, 793.0559692382812)"
5,Information Brochure ,"Times New Roman,Bold",24.0,bold,"(189, 88, 44)",#BD582C,"(201.19000244140625, 72.71597290039062, 436.010009765625, 99.28397369384766)"
5,1. History of the Department  ,"Times New Roman,Bold",13.92,bold,"(0, 32, 96)",#002060,"(72.02400207519531, 124.20726776123047, 251.25999450683594, 139.61669921875)"
5,The ,Times New Roman,12.0,regular,"(68, 68, 68)",#444444,"(72.02400207519531, 152.31800842285156, 93.49201202392578, 165.6020050048828)"
5,history,"Times New Roman,Bold",12.0,bold,"(68, 68, 68)",#444444,"(95.56800079345703, 152.31800842285156, 131.30401611328125, 165.6020050048828)"
5," of the Department of Sanskrit, DU begins with the history of the University ",Times New Roman,12.0,regular,"(68, 68, 68)",#444444,"(131.3300018310547, 152.31800842285156, 526.3900146484375, 165.6020050048828)"
5,itself. The Department came into existence in 1922 when the University had come into ,Times New Roman,12.0,regular,"(68, 68, 68)",#444444,"(72.02400207519531, 173.1979522705078, 526.3780517578125, 186.48194885253906)"
5,existence. During the first two years of its commencement the Department ran without ,Times New Roman,12.0,regular,"(68, 68, 68)",#444444,"(72.02400207519531, 193.8379669189453, 526.2860717773438, 207.12196350097656)"
5,postgraduate students. It was only in 1924 that the Department had one student in its M.A. ,Times New Roman,12.0,regular,"(68, 68, 68)",#444444,"(72.02400207519531, 214.4980010986328, 526.3660278320312, 227.78199768066406)"
5,program. Following the practice of the time ,Times New Roman,12.0,regular,"(68, 68, 68)",#444444,"(72.02400207519531, 235.13795471191406, 292.5040283203125, 248.4219512939453)"
5,Mahamahopadhyaya Pandit Lachhmi Dhar ,"Times New Roman,Bold",12.0,bold,"(68, 68, 68)",#444444,"(294.1199951171875, 235.13795471191406, 526.3779907226562, 248.4219512939453)"
5,Kalla,"Times New Roman,Bold",12.0,bold,"(68, 68, 68)",#444444,"(72.02400207519531, 256.0179748535156, 99.85198974609375, 269.3019714355469)"
5,", the senior most of the teachers among the constituent colleges of the University ",Times New Roman,12.0,regular,"(68, 68, 68)",#444444,"(99.88800048828125, 256.0179748535156, 526.3900146484375, 269.3019714355469)"
5,occupied the position of Teacher-in-charge of the Department. As the Department had no ,Times New Roman,12.0,regular,"(68, 68, 68)",#444444,"(72.02400207519531, 276.6579895019531, 526.3780517578125, 289.9419860839844)"
5,"faculty members of its own, officially recognized some of the senior teachers from the ",Times New Roman,12.0,regular,"(68, 68, 68)",#444444,"(72.02400207519531, 297.2980041503906, 526.0001220703125, 310.5820007324219)"
5,colleges as Readers.  ,Times New Roman,12.0,regular,"(68, 68, 68)",#444444,"(72.02400207519531, 317.9679870605469, 174.91000366210938, 331.2519836425781)"
5,Mahamahopadhyaya Pandit Lachhmi Dhar Kalla ,"Times New Roman,Bold",11.04,bold,"(255, 0, 0)",#FF0000,"(180.5500030517578, 667.393310546875, 417.4100036621094, 679.6146240234375)"
5,Pandit ,Times New Roman,12.0,regular,"(68, 68, 68)",#444444,"(72.02400207519531, 706.6179809570312, 105.46800231933594, 719.9019775390625)"
5,Lachhmi Dhar Kalla,"Times New Roman,Bold",12.0,bold,"(68, 68, 68)",#444444,"(106.12999725341797, 706.6179809570312, 213.8979949951172, 719.9019775390625)"
5,", the first in-charge of the Department belonged to St. Stephen's ",Times New Roman,12.0,regular,"(68, 68, 68)",#444444,"(213.91000366210938, 706.6179809570312, 526.322021484375, 719.9019775390625)"
5,College. Those days the Postgraduate classes of the subject of Sanskrit were held at St. ,Times New Roman,12.0,regular,"(68, 68, 68)",#444444,"(72.02400207519531, 727.2579345703125, 526.3779907226562, 740.5419311523438)"
5,Stephen's College. Pandit Kalla pioneered the research programs in the Department of ,Times New Roman,12.0,regular,"(68, 68, 68)",#444444,"(72.02400207519531, 747.9239501953125, 526.3779907226562, 761.2079467773438)"
6,"Information Brochure, Department of Sanskrit ",Times New Roman,12.0,regular,"(112, 48, 160)",#7030A0,"(186.07000732421875, 35.64796447753906, 412.1300048828125, 48.93196487426758)"
6,2 ,Calibri,11.04,regular,"(0, 0, 0)",#000000,"(294.8399963378906, 782.0159301757812, 302.8550109863281, 793.0559692382812)"
6,Sanskrit. He had come to the department with an illustrious background to his credit. After ,Times New Roman,12.0,regular,"(68, 68, 68)",#444444,"(72.02400207519531, 72.12800598144531, 526.3779907226562, 85.4120101928711)"
6,"completing an archeological apprenticeship under Sir John Marshal, he had joined St. ",Times New Roman,12.0,regular,"(68, 68, 68)",#444444,"(72.02400207519531, 92.76795959472656, 526.342041015625, 106.05196380615234)"
6,Stephen’s College as a lecturer in October 1916. He was an elected member of the Royal ,Times New Roman,12.0,regular,"(68, 68, 68)",#444444,"(72.02400207519531, 113.40797424316406, 525.8400268554688, 126.69197845458984)"
6,"Asiatic Society. Apart from being well-versed in several Indian languages, he had the ",Times New Roman,12.0,regular,"(68, 68, 68)",#444444,"(72.02400207519531, 134.31800842285156, 526.35400390625, 147.6020050048828)"
6,"knowledge of Persian, Arabic, Greek, Latin, German, French, Russian and English. His ",Times New Roman,12.0,regular,"(68, 68, 68)",#444444,"(72.02400207519531, 154.9579620361328, 526.365966796875, 168.24195861816406)"
6,books ,Times New Roman,12.0,regular,"(68, 68, 68)",#444444,"(72.02400207519531, 175.5979766845703, 103.79999542236328, 188.88197326660156)"
6,‘The Birthplace of Kalidasa’,"Times New Roman,Italic",12.0,italic,"(68, 68, 68)",#444444,"(105.41000366210938, 175.5979766845703, 247.93600463867188, 188.88197326660156)"
6, and ,Times New Roman,12.0,regular,"(68, 68, 68)",#444444,"(248.02000427246094, 175.5979766845703, 272.6199951171875, 188.88197326660156)"
6,‘The Homeland of Aryans’,"Times New Roman,Italic",12.0,italic,"(68, 68, 68)",#444444,"(274.17999267578125, 175.5979766845703, 406.8559875488281, 188.88197326660156)"
6, got high ,Times New Roman,12.0,regular,"(68, 68, 68)",#444444,"(406.94000244140625, 175.5979766845703, 455.0780029296875, 188.88197326660156)"
6,accreditations,Times New Roman,12.0,regular,"(0, 0, 0)",#000000,"(456.6499938964844, 175.5979766845703, 523.1780395507812, 188.88197326660156)"
6,from the scholars across the globe. It goes without saying that his contributions in building ,Times New Roman,12.0,regular,"(68, 68, 68)",#444444,"(72.02400207519531, 196.2379913330078, 526.322021484375, 209.52198791503906)"
6,the Department are unparalleled.  ,Times New Roman,12.0,regular,"(68, 68, 68)",#444444,"(72.02400207519531, 217.13795471191406, 235.4199981689453, 230.4219512939453)"
6,Dr. N.N.Choudhuri of Ramjas College took over as Head of the Department in the year 1949. ,Times New Roman,12.0,regular,"(0, 32, 96)",#002060,"(72.02400207519531, 237.77796936035156, 526.2859497070312, 251.0619659423828)"
6,A full-fledged University Department saw its inception only in the year 1953 when a post of ,Times New Roman,12.0,regular,"(0, 32, 96)",#002060,"(72.02400207519531, 258.4179992675781, 526.1840209960938, 271.7019958496094)"
6,Reader in Sanskrit was created and filled up. ,Times New Roman,12.0,regular,"(0, 32, 96)",#002060,"(72.02400207519531, 279.0580139160156, 289.67999267578125, 292.3420104980469)"
6,Dr. N.N. Choudhuri ,"Times New Roman,Bold",12.0,bold,"(255, 0, 0)",#FF0000,"(246.10000610351562, 668.2179565429688, 352.1000061035156, 681.501953125)"
6,"Dr. N. N. Choudhuri of Ramjas College, who was already working as the Head of the ",Times New Roman,12.0,regular,"(68, 68, 68)",#444444,"(72.02400207519531, 688.6179809570312, 526.1279296875, 701.9019775390625)"
6,"Department, was appointed in the said position of Reader and was asked to take over as the ",Times New Roman,12.0,regular,"(68, 68, 68)",#444444,"(72.02400207519531, 709.4979858398438, 526.3780517578125, 722.781982421875)"
6,first regular Head. In 1955 a position of Professor was created. Dr. N. N. Choudhuri was ,Times New Roman,12.0,regular,"(68, 68, 68)",#444444,"(72.02400207519531, 730.137939453125, 526.322021484375, 743.4219360351562)"
6,appointed as the first Professor. For a long time the principal focus of the Department was to ,Times New Roman,12.0,regular,"(68, 68, 68)",#444444,"(72.02400207519531, 750.803955078125, 526.3540649414062, 764.0879516601562)"
7,"Information Brochure, Department of Sanskrit ",Times New Roman,12.0,regular,"(112, 48, 160)",#7030A0,"(186.07000732421875, 35.64796447753906, 412.1300048828125, 48.93196487426758)"
7,3 ,Calibri,11.04,regular,"(0, 0, 0)",#000000,"(294.8399963378906, 782.0159301757812, 302.8550109863281, 793.0559692382812)"
7,provide instructions to Undergraduate and Postgraduate courses. Research occupied prime ,Times New Roman,12.0,regular,"(68, 68, 68)",#444444,"(72.02400207519531, 72.12800598144531, 526.3900146484375, 85.4120101928711)"
7,attention only a few years later. Dr. Ram Gopal was the first Ph.D. student of the Department ,Times New Roman,12.0,regular,"(68, 68, 68)",#444444,"(72.02400207519531, 92.76795959472656, 526.3900146484375, 106.05196380615234)"
7,"in the academic year 1953-54. Even in the late fifties, there used to be only five or six ",Times New Roman,12.0,regular,"(68, 68, 68)",#444444,"(72.02400207519531, 113.40797424316406, 526.0919799804688, 126.69197845458984)"
7,students in its M.A. program and one or two students in Ph.D. program. This situation ,Times New Roman,12.0,regular,"(68, 68, 68)",#444444,"(72.02400207519531, 134.31800842285156, 526.3900146484375, 147.6020050048828)"
7,continued for a number of years. It was only during the early sixties that a marked ,Times New Roman,12.0,regular,"(68, 68, 68)",#444444,"(72.02400207519531, 154.9579620361328, 526.3900146484375, 168.24195861816406)"
7,improvement in the numbers of students was seen. From being a small Department it has now ,Times New Roman,12.0,regular,"(68, 68, 68)",#444444,"(72.02400207519531, 175.5979766845703, 526.4020385742188, 188.88197326660156)"
7,grown to be one of the biggest Departments in the University with more than three hundred ,Times New Roman,12.0,regular,"(68, 68, 68)",#444444,"(72.02400207519531, 196.2379913330078, 526.3540649414062, 209.52198791503906)"
7,"postgraduate students, more than one hundred fifty research scholars and more than one ",Times New Roman,12.0,regular,"(68, 68, 68)",#444444,"(72.02400207519531, 217.13795471191406, 526.3779907226562, 230.4219512939453)"
7,hundred fifty teachers in colleges and the University Department. ,Times New Roman,12.0,regular,"(68, 68, 68)",#444444,"(72.02400207519531, 237.77796936035156, 389.29998779296875, 251.0619659423828)"
7,The Department of Sanskrit enjoys the pride of having some of the stalwarts in the subject as ,Times New Roman,12.0,regular,"(68, 68, 68)",#444444,"(72.02400207519531, 258.4179992675781, 526.3900756835938, 271.7019958496094)"
7,"its faculties in the past. Prof. R V Joshi, an internationally acclaimed Sanskritist introduced ",Times New Roman,12.0,regular,"(68, 68, 68)",#444444,"(72.02400207519531, 279.0580139160156, 526.0722045898438, 292.3420104980469)"
7,the modern European research methods to the Department. He is the recipient of Sahitya ,Times New Roman,12.0,regular,"(68, 68, 68)",#444444,"(72.02400207519531, 299.9679870605469, 526.3660278320312, 313.2519836425781)"
7,Academy award and ‘Pravasi Bhartiya Sammana’.  ,Times New Roman,12.0,regular,"(68, 68, 68)",#444444,"(72.02400207519531, 320.6080017089844, 320.6400146484375, 333.8919982910156)"
7,Prof. R V Joshi ,"Times New Roman,Bold",12.0,bold,"(255, 0, 0)",#FF0000,"(258.3399963378906, 576.2779541015625, 340.0799865722656, 589.5619506835938)"
7,The special feature of the creative strength of Prof. Joshi has been his ability to author in ,Times New Roman,12.0,regular,"(38, 38, 38)",#262626,"(72.02400207519531, 596.91796875, 526.3900146484375, 610.2019653320312)"
7,"Hindi, Sanskrit, French, Spanish and Latin with equal ease. He has the credits of publishing ",Times New Roman,12.0,regular,"(38, 38, 38)",#262626,"(72.02400207519531, 617.5579833984375, 526.3900146484375, 630.8419799804688)"
7,"books and articles in all these languages. He has published the books from USA, Europe and ",Times New Roman,12.0,regular,"(38, 38, 38)",#262626,"(72.02400207519531, 638.197998046875, 526.31005859375, 651.4819946289062)"
7,India. He has composed fifteen K,Times New Roman,12.0,regular,"(38, 38, 38)",#262626,"(72.02400207519531, 658.8579711914062, 245.6439971923828, 672.1419677734375)"
7,ā,Times New Roman,12.0,regular,"(0, 0, 0)",#000000,"(245.6199951171875, 658.8579711914062, 250.947998046875, 672.1419677734375)"
7,vyas and Mah,Times New Roman,12.0,regular,"(38, 38, 38)",#262626,"(250.89999389648438, 658.8579711914062, 323.3079833984375, 672.1419677734375)"
7,ā,Times New Roman,12.0,regular,"(0, 0, 0)",#000000,"(323.1600036621094, 658.8579711914062, 328.4880065917969, 672.1419677734375)"
7,k,Times New Roman,12.0,regular,"(38, 38, 38)",#262626,"(328.44000244140625, 658.8579711914062, 334.44000244140625, 672.1419677734375)"
7,ā,Times New Roman,12.0,regular,"(0, 0, 0)",#000000,"(334.44000244140625, 658.8579711914062, 339.76800537109375, 672.1419677734375)"
7,vyas in Sanskrit and has edited and ,Times New Roman,12.0,regular,"(38, 38, 38)",#262626,"(339.9599914550781, 658.8579711914062, 526.3779907226562, 672.1419677734375)"
7,translated several books with detailed introductions and critical notes. Dr. Joshi has published ,Times New Roman,12.0,regular,"(38, 38, 38)",#262626,"(72.02400207519531, 679.7379760742188, 526.3900146484375, 693.02197265625)"
7,more than thirty eight books and hundreds of scholarly articles in national and international ,Times New Roman,12.0,regular,"(38, 38, 38)",#262626,"(72.02400207519531, 700.3779296875, 526.2860107421875, 713.6619262695312)"
7,"journals. Some of his major works are ‘Satyam’ - The Eternal  Truth, Radh",Times New Roman,12.0,regular,"(38, 38, 38)",#262626,"(72.02400207519531, 721.0179443359375, 458.2400207519531, 734.3019409179688)"
7,ā,Times New Roman,12.0,regular,"(0, 0, 0)",#000000,"(458.0899963378906, 721.0179443359375, 463.4179992675781, 734.3019409179688)"
7,"panchashati, ",Times New Roman,12.0,regular,"(38, 38, 38)",#262626,"(463.3699951171875, 721.0179443359375, 526.3540649414062, 734.3019409179688)"
7,"Upasanacintamani (A book in eight volumes consisting of 400 pages), Swarnamala - An ",Times New Roman,12.0,regular,"(38, 38, 38)",#262626,"(72.02400207519531, 741.6599731445312, 526.4140014648438, 754.9439697265625)"
8,"Information Brochure, Department of Sanskrit ",Times New Roman,12.0,regular,"(112, 48, 160)",#7030A0,"(186.07000732421875, 35.64796447753906, 412.1300048828125, 48.93196487426758)"
8,4 ,Calibri,11.04,regular,"(0, 0, 0)",#000000,"(294.8399963378906, 782.0159301757812, 302.8550109863281, 793.0559692382812)"
8,"Encyclopedia in four volumes,  Bhaktimimansa in four volumes, Shivalinga Rahasya, an epic ",Times New Roman,12.0,regular,"(38, 38, 38)",#262626,"(72.02400207519531, 72.12800598144531, 526.2739868164062, 85.4120101928711)"
8,"Ramapratapacaritam in two volumes, Yogsutra Patanjali (in Spanish), Laxmi-nrsimha-",Times New Roman,12.0,regular,"(38, 38, 38)",#262626,"(72.02400207519531, 92.76795959472656, 523.0659790039062, 106.05196380615234)"
8,"sahasra-nama-stotras, Vide di un Saggio Parma, Italia etc. ",Times New Roman,12.0,regular,"(38, 38, 38)",#262626,"(72.02400207519531, 113.40797424316406, 352.7180480957031, 126.69197845458984)"
8,Prof. Satyavrat Shastri,"Times New Roman,Bold",12.0,bold,"(68, 68, 68)",#444444,"(72.02400207519531, 134.31800842285156, 194.42201232910156, 147.6020050048828)"
8,", former Professor and Head of the Department ",Times New Roman,12.0,regular,"(68, 68, 68)",#444444,"(194.47000122070312, 134.31800842285156, 437.0899963378906, 147.6020050048828)"
8,is ,Times New Roman,12.0,regular,"(26, 26, 26)",#1A1A1A,"(439.1300048828125, 134.31800842285156, 449.57000732421875, 147.6020050048828)"
8,another,Times New Roman,12.0,regular,"(68, 68, 68)",#444444,"(451.6099853515625, 134.31800842285156, 487.7300109863281, 147.6020050048828)"
8, highly ,Times New Roman,12.0,regular,"(26, 26, 26)",#1A1A1A,"(487.8699951171875, 134.31800842285156, 526.3900146484375, 147.6020050048828)"
8,acclaimed ,Times New Roman,12.0,regular,"(26, 26, 26)",#1A1A1A,"(72.02400207519531, 154.9579620361328, 123.46800994873047, 168.24195861816406)"
8,Sanskrit,Times New Roman,12.0,regular,"(9, 47, 157)",#092F9D,"(124.61000061035156, 154.9579620361328, 163.68199157714844, 168.24195861816406)"
8," scholar, writer, grammarian and poet. He has written three ",Times New Roman,12.0,regular,"(26, 26, 26)",#1A1A1A,"(163.99000549316406, 154.9579620361328, 458.5640563964844, 168.24195861816406)"
8,Mahakavyas,Times New Roman,12.0,regular,"(9, 47, 157)",#092F9D,"(459.7699890136719, 154.9579620361328, 520.1060180664062, 168.24195861816406)"
8,", ",Times New Roman,12.0,regular,"(26, 26, 26)",#1A1A1A,"(520.030029296875, 154.9579620361328, 526.3900146484375, 168.24195861816406)"
8,"three Khandakavyas, one Prabandhakavya, one Patrakavya and five works in critical writings ",Times New Roman,12.0,regular,"(26, 26, 26)",#1A1A1A,"(72.02400207519531, 175.5979766845703, 526.3900146484375, 188.88197326660156)"
8,in Sanskrit.,Times New Roman,12.0,regular,"(26, 26, 26)",#1A1A1A,"(72.02400207519531, 196.2379913330078, 126.56400299072266, 209.52198791503906)"
8,During his career he has won many national and international awards including the ,Times New Roman,12.0,regular,"(26, 26, 26)",#1A1A1A,"(72.02400207519531, 217.13795471191406, 486.0019836425781, 230.4219512939453)"
8,Sahitya ,Times New Roman,12.0,regular,"(9, 47, 157)",#092F9D,"(487.1499938964844, 217.13795471191406, 526.3900146484375, 230.4219512939453)"
8,Akademi Award,Times New Roman,12.0,regular,"(9, 47, 157)",#092F9D,"(72.02400207519531, 237.77796936035156, 152.13600158691406, 251.0619659423828)"
8, for Sanskrit. Sahitya Academy conferred on him an award in the year 1968 ,Times New Roman,12.0,regular,"(26, 26, 26)",#1A1A1A,"(152.2100067138672, 237.77796936035156, 526.3900146484375, 251.0619659423828)"
8,"for his poetry work, ",Times New Roman,12.0,regular,"(26, 26, 26)",#1A1A1A,"(72.02400207519531, 258.4179992675781, 178.8240203857422, 271.7019958496094)"
8,Srigurugovindasi,"Times New Roman,Italic",12.0,italic,"(26, 26, 26)",#1A1A1A,"(181.99000549316406, 258.4179992675781, 265.0059814453125, 271.7019958496094)"
